CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,R_score,F_score,M_score,RFM_Score,Segment
12378.0,8/2/2011 10:34,1,4008.62,130,3,1,5,315,Others
12379.0,9/19/2011 10:09,3,850.29,82,4,3,3,433,Others
12380.0,9/22/2011 17:31,5,2720.56,78,4,4,5,445,Others
12381.0,8/31/2011 17:10,6,1803.96,100,3,4,4,344,Others
12383.0,6/8/2011 8:02,6,1839.31,185,2,4,4,244,Others
12384.0,9/21/2011 10:00,3,566.16,80,4,3,3,433,Others
12386.0,12/8/2010 9:53,2,401.9,367,1,2,2,122,Lost Customers
12388.0,9/25/2011 11:30,6,2780.6600000000003,76,4,4,5,445,Others
12390.0,9/21/2011 9:33,1,549.84,80,4,1,3,413,Others
12391.0,11/18/2011 12:07,1,460.89,22,5,1,2,512,Others
12393.0,9/28/2011 15:41,4,1582.6000000000001,72,5,4,4,544,Others
12394.0,5/6/2011 14:01,2,1272.48,217,2,2,4,224,Others
12395.0,8/19/2011 15:18,15,2998.28,112,3,5,5,355,Loyalists
12397.0,7/27/2011 14:21,2,2409.9,135,3,2,5,325,Others
12398.0,10/25/2011 10:27,1,1635.66,46,5,1,4,514,Others
12399.0,8/12/2011 13:15,4,1108.65,119,3,4,4,344,Others
12401.0,2/9/2011 13:50,1,84.3,303,1,1,1,111,Lost Customers
12402.0,1/20/2011 13:49,1,225.6,323,1,1,1,111,Lost Customers
12403.0,10/21/2011 11:00,2,409.7,50,5,2,2,522,Others
12405.0,7/14/2011 8:52,1,1710.39,149,2,1,4,214,Others
12406.0,8/9/2011 9:41,3,3280.75,123,3,3,5,335,Others
12407.0,7/6/2011 9:49,5,1708.12,157,2,4,4,244,Others
12408.0,9/2/2011 10:27,9,2842.57,99,3,5,5,355,Loyalists
12409.0,9/22/2011 10:38,7,11056.93,79,4,4,5,445,Others
12410.0,2/4/2011 10:39,3,681.08,309,1,3,3,133,Lost Customers
12412.0,9/26/2011 10:16,3,1226.88,75,4,3,4,434,Others
12413.0,4/17/2011 15:33,5,694.15,236,1,4,3,143,Lost Customers
12414.0,5/6/2011 14:51,3,562.41,217,2,3,3,233,Others
12415.0,9/1/2011 13:51,26,123725.45,99,3,5,5,355,Loyalists
12417.0,8/4/2011 18:51,12,3578.8,127,3,5,5,355,Loyalists
12418.0,8/19/2011 11:08,1,668.58,113,3,1,3,313,Others
12420.0,10/7/2011 8:55,1,600.39,64,5,1,3,513,Others
12421.0,8/17/2011 10:56,5,806.27,115,3,4,3,343,Others
12422.0,9/5/2011 9:48,3,803.5600000000001,96,3,3,3,333,Others
12423.0,9/2/2011 12:00,9,1849.11,99,3,5,4,354,Loyalists
12424.0,6/30/2011 12:06,2,1760.96,163,2,2,4,224,Others
12425.0,9/22/2011 17:31,1,777.2,78,4,1,3,413,Others
12426.0,5/29/2011 12:26,1,582.73,194,2,1,3,213,Others
12427.0,12/3/2010 10:44,5,708.37,372,1,4,3,143,Lost Customers
12428.0,8/23/2011 10:42,12,7877.2,109,3,5,5,355,Loyalists
12429.0,6/20/2011 12:14,4,3750.4,173,2,4,5,245,Others
12430.0,10/27/2011 15:09,1,256.4,43,5,1,2,512,Others
12431.0,8/12/2011 14:19,18,6416.39,119,3,5,5,355,Loyalists
12432.0,6/22/2011 13:12,5,5059.32,170,2,4,5,245,Others
12433.0,9/9/2011 13:44,7,13375.87,91,4,4,5,445,Others
12434.0,9/16/2011 12:38,4,765.19,84,4,4,3,443,Others
12435.0,9/21/2011 9:06,2,7829.89,80,4,2,5,425,Others
12436.0,9/1/2011 12:09,1,509.01000000000005,100,3,1,3,313,Others
12437.0,9/22/2011 16:58,19,4896.66,78,4,5,5,455,Loyalists
12438.0,7/22/2011 13:29,2,2906.85,140,2,2,5,225,Others
12441.0,12/8/2010 10:45,1,173.55,367,1,1,1,111,Lost Customers
12442.0,12/6/2011 14:22,1,172.06,3,5,1,1,511,Others
12444.0,9/15/2011 9:43,5,5005.46,86,4,4,5,445,Others
12445.0,11/17/2011 18:43,1,133.4,22,5,1,1,511,Others
12446.0,10/13/2011 12:50,1,1002.3100000000001,57,5,1,4,514,Others
12447.0,4/10/2011 13:25,1,476.49,243,1,1,3,113,Lost Customers
12448.0,10/26/2011 13:46,1,449.45,44,5,1,2,512,Others
12449.0,9/9/2011 9:13,4,4067.29,92,4,4,5,445,Others
12450.0,7/6/2011 14:41,2,197.88,156,2,2,1,221,Others
12451.0,7/15/2011 15:22,6,8933.52,147,2,4,5,245,Others
12452.0,11/23/2011 8:05,3,428.57,17,5,3,2,532,Others
12453.0,7/28/2011 14:08,1,707.09,134,3,1,3,313,Others
12454.0,10/17/2011 15:07,2,0.0,53,5,2,1,521,Others
12455.0,9/27/2011 15:31,6,2466.86,73,4,4,5,445,Others
12456.0,8/23/2011 11:02,4,3153.89,109,3,4,5,345,Others
12457.0,9/19/2011 9:04,12,1917.78,82,4,5,4,454,Loyalists
12458.0,9/29/2011 15:25,2,947.4,71,5,2,4,524,Others
12461.0,9/6/2011 16:57,2,826.88,94,3,2,3,323,Others
12462.0,2/9/2011 14:44,4,1124.01,303,1,4,4,144,Lost Customers
12463.0,6/17/2011 14:28,7,1303.63,175,2,4,4,244,Others
12464.0,8/25/2011 13:33,8,1212.05,106,3,5,4,354,Loyalists
12465.0,6/23/2011 13:37,3,733.89,169,2,3,3,233,Others
12468.0,7/19/2011 13:42,3,724.0400000000001,143,2,3,3,233,Others
12471.0,9/8/2011 10:02,49,18740.92,93,3,5,5,355,Loyalists
12472.0,7/7/2011 11:44,13,6229.48,156,2,5,5,255,Loyalists
12473.0,8/17/2011 12:04,9,2848.23,115,3,5,5,355,Loyalists
12474.0,9/20/2011 16:30,30,7116.47,80,4,5,5,455,Loyalists
12475.0,10/17/2011 10:10,1,723.38,54,5,1,3,513,Others
12476.0,9/16/2011 10:56,20,6546.58,85,4,5,5,455,Loyalists
12477.0,9/9/2011 10:32,9,13117.01,92,4,5,5,455,Loyalists
12478.0,12/6/2011 9:56,1,680.99,4,5,1,3,513,Others
12479.0,12/6/2011 9:25,3,477.3,4,5,3,3,533,Others
12480.0,7/19/2011 14:04,4,3281.63,143,2,4,5,245,Others
12481.0,6/13/2011 10:52,11,5590.86,180,2,5,5,255,Loyalists
12483.0,9/2/2011 11:42,13,2327.13,99,3,5,5,355,Loyalists
12484.0,8/31/2011 9:44,8,4495.27,101,3,5,5,355,Loyalists
12488.0,9/25/2011 10:34,3,1298.66,76,4,3,4,434,Others
12489.0,1/7/2011 13:13,1,334.93,336,1,1,2,112,Lost Customers
12490.0,9/7/2011 13:22,10,5417.93,93,3,5,5,355,Loyalists
12491.0,11/1/2011 12:18,1,460.40000000000003,38,5,1,2,512,Others
12492.0,8/26/2011 14:51,2,263.21000000000004,105,3,2,2,322,Others
12493.0,6/27/2011 10:17,3,416.79,166,2,3,2,232,Others
12494.0,7/5/2011 15:50,13,1139.3500000000001,157,2,5,4,254,Loyalists
12497.0,9/19/2011 12:29,1,1043.1,81,4,1,4,414,Others
12498.0,11/18/2011 12:53,3,403.70000000000005,21,5,3,2,532,Others
12500.0,8/25/2011 12:50,13,4206.27,106,3,5,5,355,Loyalists
12501.0,1/7/2011 12:28,2,2089.68,336,1,2,5,125,Lost Customers
12502.0,9/5/2011 11:52,5,3723.87,96,3,4,5,345,Others
12503.0,1/6/2011 11:51,1,-1126.0,338,1,1,1,111,Lost Customers
12504.0,11/9/2011 14:56,4,114.0,30,5,4,1,541,Others
12505.0,2/11/2011 13:39,1,-4.5,301,1,1,1,111,Lost Customers
12506.0,4/21/2011 8:54,1,73.5,233,1,1,1,111,Lost Customers
12507.0,7/7/2011 10:20,4,1258.06,156,2,4,4,244,Others
12508.0,11/13/2011 15:37,2,398.27,26,5,2,2,522,Others
12509.0,2/28/2011 14:45,1,176.5,284,1,1,1,111,Lost Customers
12510.0,7/20/2011 10:15,2,982.5699999999999,143,2,2,4,224,Others
12512.0,10/4/2011 14:55,2,138.03,66,5,2,1,521,Others
12513.0,9/16/2011 12:45,2,586.79,84,4,2,3,423,Others
12514.0,3/17/2011 16:38,1,1017.68,267,1,1,4,114,Lost Customers
12515.0,12/21/2010 15:43,1,383.7,353,1,1,2,112,Lost Customers
12516.0,9/23/2011 9:13,2,1312.06,78,4,2,4,424,Others
12517.0,9/27/2011 11:50,6,2464.89,74,4,4,5,445,Others
12518.0,9/23/2011 15:45,5,2056.89,77,4,4,5,445,Others
12519.0,10/7/2011 9:26,1,340.84,64,5,1,2,512,Others
12520.0,9/21/2011 15:23,6,2582.51,79,4,4,5,445,Others
12521.0,7/20/2011 10:51,1,599.68,143,2,1,3,213,Others
12522.0,10/31/2011 15:30,2,192.72,39,5,2,1,521,Others
12523.0,9/21/2011 14:43,13,1745.57,79,4,5,4,454,Loyalists
12524.0,6/30/2011 15:30,8,4485.72,162,2,5,5,255,Loyalists
12526.0,9/6/2011 14:19,3,1316.66,94,3,3,4,334,Others
12527.0,9/19/2011 11:55,3,348.71000000000004,82,4,3,2,432,Others
12528.0,8/19/2011 10:37,8,1922.28,113,3,5,4,354,Loyalists
12530.0,8/8/2011 10:59,5,1623.63,124,3,4,4,344,Others
12531.0,11/25/2011 11:12,1,125.22,15,5,1,1,511,Others
12532.0,11/9/2011 13:47,1,349.83000000000004,30,5,1,2,512,Others
12534.0,8/1/2011 10:26,1,1089.18,131,3,1,4,314,Others
12535.0,9/9/2011 8:48,2,716.35,92,4,2,3,423,Others
12536.0,12/2/2011 12:43,5,4106.82,7,5,4,5,545,Others
12538.0,11/10/2011 17:16,1,363.95,29,5,1,2,512,Others
12539.0,3/22/2011 16:00,5,3852.5,262,1,4,5,145,Lost Customers
12540.0,9/8/2011 13:38,19,13309.039999999999,92,4,5,5,455,Loyalists
12541.0,6/19/2011 15:59,3,981.18,173,2,3,4,234,Others
12544.0,11/3/2011 16:15,2,355.7,36,5,2,2,522,Others
12545.0,9/25/2011 13:39,2,1000.39,75,4,2,4,424,Others
12546.0,9/23/2011 9:44,3,1141.5,78,4,3,4,434,Others
12547.0,5/26/2011 12:38,2,207.79999999999998,197,2,2,1,221,Others
12548.0,6/26/2011 15:35,1,95.19999999999999,166,2,1,1,211,Others
12550.0,9/21/2011 14:35,1,964.83,79,4,1,4,414,Others
12551.0,12/17/2010 11:23,1,168.0,358,1,1,1,111,Lost Customers
12552.0,11/1/2011 10:02,2,437.82,39,5,2,2,522,Others
12553.0,8/21/2011 14:42,14,3652.25,110,3,5,5,355,Loyalists
12556.0,7/11/2011 13:35,2,603.71,151,2,2,3,223,Others
12557.0,7/4/2011 13:19,5,11990.960000000001,158,2,4,5,245,Others
12558.0,12/8/2011 10:14,2,0.0,2,5,2,1,521,Others
12559.0,2/2/2011 9:49,3,536.21,311,1,3,3,133,Lost Customers
12560.0,8/31/2011 12:39,4,2101.39,100,3,4,5,345,Others
12561.0,2/10/2011 11:39,1,238.85,303,1,1,2,112,Lost Customers
12562.0,9/19/2011 9:15,7,3781.7400000000002,82,4,4,5,445,Others
12564.0,3/23/2011 14:55,1,456.9,261,1,1,2,112,Lost Customers
12565.0,3/3/2011 11:43,2,131.17,282,1,2,1,121,Lost Customers
12566.0,9/28/2011 9:57,2,346.7,73,4,2,2,422,Others
12567.0,9/4/2011 14:22,11,9114.94,96,3,5,5,355,Loyalists
12569.0,9/8/2011 15:22,35,4064.9900000000002,92,4,5,5,455,Loyalists
12571.0,8/10/2011 12:35,2,519.61,121,3,2,3,323,Others
12572.0,12/1/2011 9:20,3,1004.72,9,5,3,4,534,Others
12573.0,4/26/2011 15:52,1,160.54,227,1,1,1,111,Lost Customers
12574.0,1/28/2011 9:20,1,218.45000000000002,316,1,1,1,111,Lost Customers
12576.0,9/5/2011 10:06,6,1306.98,96,3,4,4,344,Others
12577.0,12/15/2010 16:21,4,595.4,359,1,4,3,143,Lost Customers
12578.0,11/18/2011 13:30,4,2753.36,21,5,4,5,545,Others
12579.0,9/27/2011 13:57,3,410.71999999999997,73,4,3,2,432,Others
12580.0,4/7/2011 10:24,1,415.7,247,1,1,2,112,Lost Customers
12581.0,10/31/2011 8:56,1,197.71,40,5,1,1,511,Others
12582.0,4/15/2011 8:45,2,511.36,239,1,2,3,123,Lost Customers
12583.0,9/30/2011 12:58,18,7187.34,70,5,5,5,555,VIPs
12584.0,9/20/2011 13:21,18,1893.95,80,4,5,4,454,Loyalists
12585.0,4/19/2011 13:39,4,1982.81,234,1,4,4,144,Lost Customers
12586.0,12/6/2010 9:31,2,179.94000000000003,369,1,2,1,121,Lost Customers
12587.0,12/2/2011 12:47,1,144.0,7,5,1,1,511,Others
12588.0,10/31/2011 15:01,1,214.89999999999998,39,5,1,1,511,Others
12589.0,7/18/2011 12:05,2,646.68,145,2,2,3,223,Others
12590.0,6/2/2011 14:25,3,9861.38,190,2,3,5,235,Others
12591.0,1/26/2011 14:35,1,452.85,317,1,1,2,112,Lost Customers
12592.0,9/8/2011 15:04,2,437.6,92,4,2,2,422,Others
12593.0,8/23/2011 12:43,3,418.09999999999997,108,3,3,2,332,Others
12594.0,8/10/2011 14:26,11,3320.2200000000003,121,3,5,5,355,Loyalists
12596.0,4/11/2011 13:22,2,618.27,242,1,2,3,123,Lost Customers
12597.0,6/9/2011 16:04,5,3683.13,183,2,4,5,245,Others
12598.0,9/29/2011 16:52,9,3002.68,71,5,5,5,555,VIPs
12599.0,8/5/2011 12:38,7,1032.58,126,3,4,4,344,Others
12600.0,9/16/2011 14:20,11,2581.04,84,4,5,5,455,Loyalists
12601.0,6/3/2011 10:17,6,569.5600000000001,190,2,4,3,243,Others
12602.0,10/12/2011 11:22,1,153.12,59,5,1,1,511,Others
12603.0,11/18/2011 10:42,1,739.1999999999999,22,5,1,3,513,Others
12604.0,9/21/2011 14:08,2,254.18,79,4,2,2,422,Others
12605.0,12/9/2010 15:41,1,-7.5,365,1,1,1,111,Lost Customers
12607.0,10/12/2011 16:17,2,0.0,58,5,2,1,521,Others
12609.0,9/22/2011 16:34,3,1126.85,78,4,3,4,434,Others
12610.0,8/5/2011 13:52,7,2057.99,126,3,4,5,345,Others
12611.0,10/18/2011 13:12,1,1193.32,52,5,1,4,514,Others
12612.0,9/26/2011 15:35,2,643.59,74,4,2,3,423,Others
12613.0,5/26/2011 9:18,6,3218.98,198,2,4,5,245,Others
12614.0,3/7/2011 10:22,1,315.6,278,1,1,2,112,Lost Customers
12615.0,9/29/2011 10:23,4,2291.19,72,5,4,5,545,Others
12616.0,9/5/2011 15:17,5,657.25,95,3,4,3,343,Others
12617.0,11/10/2011 14:39,1,355.53,29,5,1,2,512,Others
12618.0,11/18/2011 11:10,1,177.31,22,5,1,1,511,Others
12619.0,9/29/2011 13:20,13,3214.81,71,5,5,5,555,VIPs
12620.0,9/20/2011 10:06,3,1339.41,81,4,3,4,434,Others
12621.0,9/9/2011 10:11,23,13612.07,92,4,5,5,455,Loyalists
12622.0,4/21/2011 16:39,1,180.1,232,1,1,1,111,Lost Customers
12623.0,3/8/2011 13:50,1,305.1,276,1,1,2,112,Lost Customers
12624.0,8/25/2011 15:04,2,641.13,106,3,2,3,323,Others
12625.0,5/12/2011 9:54,3,2614.32,212,2,3,5,235,Others
12626.0,8/4/2011 14:20,13,6388.35,127,3,5,5,355,Loyalists
12627.0,9/4/2011 14:09,7,4478.53,96,3,4,5,345,Others
12628.0,12/5/2011 13:15,4,769.61,4,5,4,3,543,Others
12630.0,11/30/2011 10:48,2,1270.88,10,5,2,4,524,Others
12631.0,10/13/2011 13:53,1,640.5,57,5,1,3,513,Others
12633.0,8/2/2011 9:35,5,2140.63,130,3,4,5,345,Others
12635.0,9/11/2011 11:04,2,1689.18,90,4,2,4,424,Others
12637.0,9/9/2011 11:48,10,5953.25,92,4,5,5,455,Loyalists
12638.0,11/6/2011 13:11,1,671.69,33,5,1,3,513,Others
12639.0,4/15/2011 12:48,1,486.1,238,1,1,3,113,Lost Customers
12640.0,9/19/2011 12:01,3,1174.58,82,4,3,4,434,Others
12641.0,8/16/2011 13:26,1,185.9,115,3,1,1,311,Others
12642.0,8/24/2011 9:23,3,1013.26,108,3,3,4,334,Others
12643.0,8/3/2011 12:56,6,3344.64,128,3,4,5,345,Others
12644.0,8/2/2011 10:33,1,477.91,130,3,1,3,313,Others
12645.0,9/1/2011 10:27,5,1755.38,100,3,4,4,344,Others
12646.0,12/5/2011 10:14,2,1346.97,5,5,2,4,524,Others
12647.0,9/22/2011 17:14,13,3669.92,78,4,5,5,455,Loyalists
12648.0,7/8/2011 11:55,1,318.05,155,2,1,2,212,Others
12649.0,8/24/2011 14:41,4,603.71,107,3,4,3,343,Others
12650.0,12/6/2011 16:34,1,314.44,3,5,1,2,512,Others
12651.0,1/9/2011 12:46,1,114.0,334,1,1,1,111,Lost Customers
12652.0,1/21/2011 17:01,2,914.53,322,1,2,4,124,Lost Customers
12653.0,7/14/2011 10:41,2,2209.85,149,2,2,5,225,Others
12654.0,5/26/2011 10:43,5,601.98,198,2,4,3,243,Others
12656.0,9/28/2011 11:38,8,3982.72,73,4,5,5,455,Loyalists
12657.0,9/22/2011 11:40,5,1152.06,79,4,4,4,444,Others
12658.0,11/21/2011 10:22,1,686.05,19,5,1,3,513,Others
12659.0,11/10/2011 11:53,1,91.68,30,5,1,1,511,Others
12660.0,11/28/2011 13:26,1,245.1,11,5,1,2,512,Others
12662.0,8/24/2011 13:42,12,3817.08,107,3,5,5,355,Loyalists
12664.0,9/13/2011 15:35,10,4863.88,87,4,5,5,455,Loyalists
12665.0,1/19/2011 8:34,2,61.75,325,1,2,1,121,Lost Customers
12666.0,12/15/2010 14:42,1,-227.44,359,1,1,1,111,Lost Customers
12667.0,10/12/2011 17:00,1,620.13,58,5,1,3,513,Others
12668.0,4/5/2011 9:53,6,3743.18,249,1,4,5,145,Lost Customers
12669.0,7/12/2011 9:54,4,1607.73,151,2,4,4,244,Others
12670.0,9/2/2011 9:51,6,2986.15,99,3,4,5,345,Others
12672.0,1/14/2011 9:20,1,225.9,330,1,1,1,111,Lost Customers
12673.0,12/4/2011 13:55,2,610.52,5,5,2,3,523,Others
12674.0,9/9/2011 10:51,7,1919.31,92,4,4,4,444,Others
12676.0,9/30/2011 9:25,6,1331.39,71,5,4,4,544,Others
12678.0,9/22/2011 10:52,13,17588.26,79,4,5,5,455,Loyalists
12679.0,9/13/2011 10:34,9,1058.67,88,4,5,4,454,Loyalists
12680.0,9/27/2011 12:53,4,862.81,73,4,4,3,443,Others
12681.0,9/27/2011 15:48,27,13677.59,73,4,5,5,455,Loyalists
12682.0,9/19/2011 12:19,31,12288.22,81,4,5,5,455,Loyalists
12683.0,9/8/2011 10:35,20,8221.09,93,3,5,5,355,Loyalists
12684.0,6/22/2011 11:20,7,2283.63,171,2,4,5,245,Others
12685.0,9/8/2011 10:32,6,2863.08,93,3,4,5,345,Others
12686.0,12/3/2010 9:51,1,89.14,372,1,1,1,111,Lost Customers
12688.0,8/18/2011 8:49,1,4873.81,114,3,1,5,315,Others
12689.0,8/4/2011 10:04,2,1247.61,128,3,2,4,324,Others
12690.0,5/18/2011 9:09,1,389.01,206,2,1,2,212,Others
12691.0,7/17/2011 14:56,6,1035.8,145,2,4,4,244,Others
12693.0,8/4/2011 17:51,6,830.96,127,3,4,3,343,Others
12694.0,9/30/2011 13:06,2,869.67,70,5,2,3,523,Others
12695.0,8/24/2011 12:58,4,582.1,107,3,4,3,343,Others
12697.0,8/17/2011 17:19,5,939.02,114,3,4,4,344,Others
12700.0,7/6/2011 13:14,6,4867.99,156,2,4,5,245,Others
12701.0,9/21/2011 10:47,2,797.71,80,4,2,3,423,Others
12702.0,11/20/2011 10:36,1,219.0,20,5,1,1,511,Others
12703.0,9/29/2011 17:52,2,274.7,71,5,2,2,522,Others
12704.0,9/22/2011 18:14,10,2220.84,78,4,5,5,455,Loyalists
12705.0,9/23/2011 12:55,14,6814.24,77,4,5,5,455,Loyalists
12707.0,2/21/2011 8:38,1,603.42,292,1,1,3,113,Lost Customers
12708.0,9/28/2011 13:30,16,2616.32,72,5,5,5,555,VIPs
12709.0,9/5/2011 14:29,26,9294.1,95,3,5,5,355,Loyalists
12710.0,9/4/2011 12:00,4,1130.57,97,3,4,4,344,Others
12712.0,8/25/2011 9:18,17,4241.63,107,3,5,5,355,Loyalists
12713.0,12/9/2011 12:16,1,848.55,1,5,1,3,513,Others
12714.0,8/25/2011 9:55,5,4708.86,107,3,4,5,345,Others
12715.0,8/25/2011 15:22,1,353.86,106,3,1,2,312,Others
12716.0,7/29/2011 13:28,2,1053.49,133,3,2,4,324,Others
12717.0,7/11/2011 14:51,3,980.98,151,2,3,4,234,Others
12718.0,9/29/2011 16:38,1,238.25,71,5,1,2,512,Others
12719.0,12/4/2011 13:45,3,608.1,5,5,3,3,533,Others
12720.0,9/6/2011 13:47,29,5713.28,94,3,5,5,355,Loyalists
12721.0,9/21/2011 12:26,7,2628.98,79,4,4,5,445,Others
12722.0,9/15/2011 14:50,6,904.33,85,4,4,3,443,Others
12723.0,12/6/2011 10:19,5,725.07,4,5,4,3,543,Others
12724.0,9/19/2011 12:36,4,1031.41,81,4,4,4,444,Others
12725.0,12/3/2010 15:45,1,427.8,371,1,1,2,112,Lost Customers
12726.0,9/14/2011 14:19,7,2609.1,86,4,4,5,445,Others
12727.0,9/5/2011 13:38,9,3947.7,95,3,5,5,355,Loyalists
12728.0,9/29/2011 15:31,4,836.33,71,5,4,3,543,Others
12729.0,8/18/2011 11:40,1,453.01,114,3,1,2,312,Others
12731.0,9/30/2011 12:06,14,18793.41,71,5,5,5,555,VIPs
12732.0,6/13/2011 11:33,1,236.26000000000002,180,2,1,2,212,Others
12733.0,4/19/2011 16:19,1,383.95,234,1,1,2,112,Lost Customers
12734.0,12/22/2010 12:47,1,110.39999999999999,352,1,1,1,111,Lost Customers
12735.0,1/6/2011 14:26,2,779.5699999999999,337,1,2,3,123,Lost Customers
12736.0,1/11/2011 7:57,1,234.0,333,1,1,1,111,Lost Customers
12738.0,12/2/2010 18:27,1,155.35,372,1,1,1,111,Lost Customers
12739.0,9/22/2011 13:00,2,1013.04,78,4,2,4,424,Others
12740.0,10/7/2011 10:44,1,427.6,64,5,1,2,512,Others
12743.0,7/28/2011 16:21,2,546.43,134,3,2,3,323,Others
12744.0,7/18/2011 11:55,10,9120.39,145,2,5,5,255,Loyalists
12747.0,8/22/2011 10:38,11,4196.01,110,3,5,5,355,Loyalists
12748.0,9/9/2011 13:20,224,29072.1,91,4,5,5,455,Loyalists
12749.0,8/18/2011 6:19,8,3868.2,114,3,5,5,355,Loyalists
12750.0,8/3/2011 9:13,1,275.88,129,3,1,2,312,Others
12752.0,9/19/2011 13:32,1,4366.78,81,4,1,5,415,Others
12753.0,8/23/2011 11:36,11,21024.01,109,3,5,5,355,Loyalists
12754.0,4/18/2011 9:00,5,2949.12,236,1,4,5,145,Lost Customers
12755.0,4/4/2011 10:12,4,2203.2,250,1,4,5,145,Lost Customers
12756.0,9/14/2011 9:31,1,112.08,87,4,1,1,411,Others
12757.0,8/3/2011 10:43,19,4227.7,129,3,5,5,355,Loyalists
12758.0,8/15/2011 10:22,2,2791.59,117,3,2,5,325,Others
12759.0,6/21/2011 9:26,3,1531.44,172,2,3,4,234,Others
12762.0,12/2/2011 10:23,2,1898.52,8,5,2,4,524,Others
12763.0,7/24/2011 14:12,2,494.08,138,2,2,3,223,Others
12764.0,1/27/2011 10:19,1,1693.88,317,1,1,4,114,Lost Customers
12766.0,7/13/2011 13:37,7,6989.63,149,2,4,5,245,Others
12769.0,4/15/2011 10:25,1,1143.6,239,1,1,4,114,Lost Customers
12770.0,5/13/2011 9:33,1,1351.45,211,2,1,4,214,Others
12772.0,10/11/2011 9:19,1,892.47,60,5,1,3,513,Others
12775.0,6/3/2011 7:48,6,1351.24,190,2,4,4,244,Others
12778.0,6/9/2011 15:29,7,804.23,183,2,4,3,243,Others
12779.0,6/3/2011 10:37,12,3868.7,190,2,5,5,255,Loyalists
12781.0,4/1/2011 15:00,5,707.72,252,1,4,3,143,Lost Customers
12782.0,7/13/2011 10:30,6,2273.32,150,2,4,5,245,Others
12783.0,9/25/2011 15:35,8,1603.8700000000001,75,4,5,4,454,Loyalists
12784.0,11/30/2011 15:38,2,574.42,9,5,2,3,523,Others
12785.0,12/7/2011 12:46,2,305.71,2,5,2,2,522,Others
12787.0,9/9/2011 12:24,3,463.66,91,4,3,2,432,Others
12789.0,10/5/2011 13:34,1,91.85,65,5,1,1,511,Others
12790.0,5/31/2011 14:14,1,324.92,192,2,1,2,212,Others
12791.0,12/1/2010 11:27,1,192.60000000000002,374,1,1,1,111,Lost Customers
12792.0,3/28/2011 11:36,1,400.53999999999996,257,1,1,2,112,Lost Customers
12793.0,12/3/2010 15:14,2,545.48,371,1,2,3,123,Lost Customers
12794.0,9/2/2011 12:01,2,860.41,99,3,2,3,323,Others
12795.0,11/21/2011 10:27,1,430.48,19,5,1,2,512,Others
12797.0,12/9/2010 10:55,3,194.18,366,1,3,1,131,Lost Customers
12798.0,6/22/2011 10:11,3,6977.04,171,2,3,5,235,Others
12802.0,6/9/2011 9:44,2,412.58,184,2,2,2,222,Others
12808.0,6/8/2011 12:21,3,483.65000000000003,184,2,3,3,233,Others
12809.0,6/24/2011 15:15,2,484.36,168,2,2,3,223,Others
12811.0,3/24/2011 9:42,3,514.85,261,1,3,3,133,Lost Customers
12812.0,10/26/2011 9:54,1,229.64000000000001,45,5,1,1,511,Others
12814.0,8/30/2011 12:11,1,125.92,102,3,1,1,311,Others
12815.0,7/15/2011 10:21,2,1063.46,148,2,2,4,224,Others
